Date,Startup Name,Industry,Sub-vertical,Location,Investors,Investment Type,Amount in USD,Website URL
24-11-2020,Cashfree,FinTech,Payments and banking technology,Bengaluru,"Matrix Partners India, SAIF Partners, Ward Ferry Management and Bertelsmann India",Series B,35300000,http://www.cashfree.com/
23-11-2020,Country Delight,Dairy Tech,Milk delivery startup,Gurugram,Elevation Capital,Series C,25000000,https://countrydelight.in/
28-10-2020,FlexiLoans,FinTech,Digital Lending Platform,Mumbai,Falguni and Sanjay Nayar Family Office,Equity and Debt ,20160000,https://flexiloans.com/
28-10-2020,Betterplace,Digital Solutions,Blue Collar Workforce Management Platform,Bangalore,Jungle Ventures,Series B,10000000,https://www.betterplace.co.in/
28-10-2020,Nykaa,E-commerce,"Beauty, Fashion, Lifestyle, Wellness",Mumbai,Alia Bhatt,Personal Investment,,https://www.nykaa.com/
28-10-2020,CredAble,FinTech,Supply Chain Finance,Mumbai,Oaks Asset Management and V’Ocean Investment,Follow-On,4500000,https://www.credable.in/
27-10-2020,Origo,AgriTech,Agricultural Commodities Management,Gurgaon,Northern Arc Capital,Debt ,4700000,https://www.origoindia.com/
27-10-2020,FreshToHome,E-commerce,Food Delivery,Bangalore,"Corporation of Dubai (ICD), Ascent Capital, DFC, the Allana Group
",Series C,121000000,https://www.freshtohome.com/
27-10-2020,GetVantage,FinTech,Revenue-Based Financing Platform,Mumbai,"Chiratae Ventures, Dream Incubators",Seed,5000000,https://getvantage.co/
27-10-2020,Origo,Advertising,Online Video Editing,Mumbai,Sequoia Capital India,Series A,15000000,https://make.invideo.io/save-50?utm_source=google&utm_medium=cpc&keyword=invideo&matchtype=e&creative=457487298390&placement=&device=c&gclid=CjwKCAjw0On8BRAgEiwAincsHFApJFLwBnhMZbiatURojG_qrQFid7gnQ7Y_8cGkr1cJFzx7Np-JABoCaykQAvD_BwE
26-10-2020,Hubilo,Information Technology,Virtual Events Platform,"Wilmington, Delaware, United States",Lightspeed Venture Partners,Seed,4500000,https://hubilo.com/
21-10-2020,Pocket FM,Information Technology,Audiobook & Podcast App,Bangalore,"Tencent, Times Group and Lightspeed India",Series A,5500000,https://www.pocketfm.in/
15-10-2020,Treebo Hotels,Hospitality,Budget Hospitality Chain,Bangalore,"Matrix Partners India, SAIF Partners, Ward Ferry Management and Bertelsmann India",,6000000,https://www.treebo.com/
12-09-2020,mCaffeine,Personal Care,Skincare & Haircare,Mumbai,"Amicus Capital Private Equity I LLP, Amicus Capital Partners India Fund I and RP-SG Venture Fund 1",Series B,3000000,https://www.mcaffeine.com/
09-09-2020,Hippo Video,Video Customer Experience(CX) Platform,Video Customer Experience(CX) Platform,"Newark, Delaware, United States of Amercia","Alpha Wave Incubation, Exfinity Venture Partners and existing backers. 
",Series A,4500000,https://www.hippovideo.io/
09-09-2020,Qshala,EduTech,Online Curiosity Platform for Kids,Bangalore,Rainmatter Capital,Angel,370000,https://www.qshala.com/
08-09-2020,Cell Propulsion,Automobile,Electric Mobility Solutions,Bangalore,growX Ventures and Micelio,pre-Series A,,http://www.cellpropulsion.com/idesktop.html
08-09-2020,Byju’s,EduTech,Online Tutoring,Bangalore,"Silver Lake, Tiger Global, General Atlantic and Owl Ventures
",Private Equity,500000000,https://byjus.com/
07-09-2020,Melorra,E-commerce,"Online Jewelry Store
",Bangalore,"Shadow Holdings, Lightbox.",Debt Financing,8900000,https://www.melorra.com/
07-09-2020,1mg,E-commerce,Online Pharmacy,Gurgaon,"Gaja Capital, Tata Capital, Partners Group",In Progress,100000000,https://www.1mg.com/
03-09-2020,Railofy,Transportation, WL & RAC protection platform,Mumbai,Chiratae Ventures,Seed,950000,https://www.railofy.com/home/v2?
02-09-2020,Winzo,Online Gaming,Online Gaming,New Delhi,"Kalaari Capital Partners, IndigoEdge Management Consultancy",Series B,15500000,https://www.winzogames.com/
31-08-2020,mfine,HealthTech,On-Demand Healthcare Services,Bangalore,Caretech Pte Inc,Series B,5400000,https://www.mfine.co/
31-08-2020,Apna,Human Resources,Recruitment Platform,Bangalore,Lightspeed India and Sequoia Capital India,Series A,8000000,https://apna.co/
15-08-2020,Practo,HealthTech,Health care and Wellness,Bangalore,"A1A Company
",Series F,32000000,https://www.practo.com/
14-08-2020,Niyo,FinTech,Financial Services,Bangalore,Niyo Solutions Inc.,,6000000,
13-08-2020,"HungerBox
",FoodTech,Online Food Delivery Service,Bangalore,"One97, Sabre Partners Trust, Pratithi Investment Trust, and Srihari Kumar",Series D1,1560000,https://hungerbox.com/
13-08-2020,Medlife,E-commerce,Online Pharmacy,Bangalore,Prasid Uno Family Trust and SC Credit Fund,,23000000,https://www.medlife.com/
13-08-2020,Eduvanz,FinTech,Financial Services,Mumbai,"Sequoia India, Unitus",Series A,5000000,
12-08-2020,Classplus,EduTech,"E-learning, Online Tutoring

",Noida,Falcon Edge,In Progress,15000000,
11-08-2020,Terra.do,EduTech,"Online Climate School, E-learning","Stanford, California, ","Stanford Angels and Entrepreneurs (India), BEENEXT Emerging Asia, Rainmatter Capital

",Seed,1400000,
10-08-2020,ZestMoney,FinTech,Financial Services,Bangalore,Primrose Hills Ventures,,10670000,
07-08-2020,FreshToHome,E-commerce,Food Delivery,Bangalore,Ascent Capital,Venture ,16200000,
04-08-2020,Dunzo,Hyper-local Logistics,Online Delivery Services,Bangalore,Existing Backers,In Progress,30000000,
04-08-2020,DrinkPrime,Water Purification,Water Purification,Bangalore,"Sequoia Surge, ON Mauritius",Pre-Series A,2880000,
04-08-2020,InVideo,Technology,Video Editor,Bangalore,Sequoia India,Series A,15000000,https://invideo.io
03-08-2020,CrowdPouch,FinTech,Financial Services,Bangalore,Elina Investments Pvt. Ltd,Angel,,
16-07-2020,Crio,EduTech,Learning Platform for Developers,Bangalore,021 Capital,pre-Series A,934160,https://www.crio.do/
16-07-2020,Vedantu,EduTech,Online Tutoring,Bangalore,Coatue Management,Series D,100000000,https://www.vedantu.com/
15-07-2020,Flipkart,E-commerce,E-commerce,Bangalore,"Walmart Inc
",M&A,1200000000,https://www.flipkart.com/
15-07-2020,PumPumPum,Automotive Rental,Used Car-leasing platform,Gurgaon,Early Adapters Syndicate,Seed,292800,
14-07-2020,goDutch,FinTech,Group Payments,Mumbai,"Matrix India,Y Combinator, Global Founders Capital, Soma Capital, and VentureSouq.",Seed,1700000,https://www.godutchpay.in/
14-07-2020,FLYX,OTT Player,Streaming Social Network,New York and Delhi,"Raj Mishra, founder of AIT Global Inc",pre-Seed,200000,
13-07-2020,Open Appliances Pvt. Ltd.,Information Technology,Internet-of-Things Security Solutions,Bangalore,Unicorn India Ventures,Venture-Series Unknown,500000,
13-07-2020,"Mystifly
",Airfare Marketplace," Ticketing, Airline Retailing, and Post-Ticketing Services ",Singapore and Bangalore,"Recruit Co. Ltd.

",pre-Series B,3300000,
10-07-2020,"gigIndia
",Marketplace,"Crowd Sourcing, Freelance",Pune,Incubate Fund India and Beyond Next Ventures,pre-Series A,974200,
09-07-2020,JetSynthesys,Gaming and Entertainment,"Gaming and Entertainment

",Pune,"Adar Poonawalla and Kris Gopalakrishnan.
",Venture-Series Unknown,400000,
18-06-2020,Drishti Technologies,Technology,"Artificial Intelligence, Video Analytics",Mumbai,"Sozo Ventures
",Series B,25000000,https://drishti.com/
17-06-2020,"Peppermint
",Industrial Robotics,Industrial Robotics,Mumbai,Venture Catalysts and Naveen Kshatriya,Seed,,https://www.getpeppermint.co/
17-06-2020,Stellaps,AgriTech,"Farming, Dairy Management Apps",Bangalore,"Stride Ventures
",Debt Financing,,https://www.stellapps.com/
16-06-2020,"Biomoneta
",BioTech,"HealthTech, Biotechnology Research",Bangalore,"Beyond Next Ventures, ArthaVida Ventures and Dr. Aniruddha Malpani
",Seed,,https://www.biomoneta.com/
16-06-2020,Jai Kisan,Rural FinTech,"AgriTech, Financial Services",Mumbai,Arkam Ventures and NABVENTURES Fund I,Pre-Series A,3934941,https://jai-kisan.com/
15-06-2020,"LetsTransport

",Logistics Solution Provider,"Logistics, Transportation, Travel",Bangalore,Stride Ventures,Venture - Series Unknown,1311647,https://letstransport.in/
15-06-2020,Sai Estate Management and Skills Institute,EdTech,"Education

",Mumbai,"Suniel Shetty
",Angel,,https://sai-estate.com//
11-06-2020,Myelin Foundry,Deep Tech AI,Artificial Intelligence,Bangalore,"Kris Gopalakrishnan’s family office — Pratithi.
",Seed,1000000,https://myelinfoundry.com/
10-06-2020,WayCool Foods,AgriTech,Food and Beverage,Chennai,Indusland Bank,Series C,5500000,https://waycool.in/
10-06-2020,Hapramp,"Block Chain, Cryptocurrency","Block Chain, Cryptocurrency",Gurugram,Anand Mahindra,Seed,1000000,https://hapramp.com/
21-05-2020,leap.club,Professional Network for Women,Professional Network for Women,Gurugram,"Whiteboard Capital (Sandeep Tandon’s VC fund), FirstCheque, Artha India Ventures, Sweta Rau (Founder, White Ventures), Amrish Rau (CEO Pinelabs, Founder Citrus Pay), Deepak Abbot (Former SVP, Paytm), and Harpreet Singh Grover (Co-founder, Co-Cubes) and others.
",Pre Seed,340000,https://leap.club/
21-05-2020,No Worry No Tension Healthcare (NWNT),Healthcare,"Emotional health and mental health wellness

",New Delhi,"Amit Burman, Chairman of Dabur India,
",Pre Series A,,http://www.nwnt.ai/
20-05-2020,"Khatabook
",Utility Solutions Provider,"Financial Services, Accounting, Payments. ",Bangalore,"B Capital Group, Sequoia India, Partners of DST Global, Tencent, GGV, RTP Global, Hummingbird Ventures, Falcon Edge Capital, Rocketship.vc, Unilever Ventures, Kevin Weil, Alexander Will, Kunal Shah, Kunal Bahl, and Rohit Bansal


",Series B,60000000,https://khatabook.com/
20-05-2020,Tring,Advertising,Celebrity Engagement Platform,Mumbai,"Tencent, Ark Impact, KoKalyan Krishnamurthy of Flipkart, Sujeet Kumar of Udaan, Gaurav Munjal of Unacademy, Keshav Sanghi of VentureWorks India, Roman Saini of Unacademy, Hemesh Singh of Unacademy, and Sumit Jain of Opentalk amongst others. 
",Angel,,https://www.tring.co.in/
19-05-2020,Vakilsearch,LegalTech,"Online professional services platform for lawyers, corporate bodies, and professionals in India.",Chennai,"Udaan co-founder, Sujeet Kumar",Series A,,https://vakilsearch.com/
19-05-2020,"Lendingkart
",FinTech,"Financial Services, Lending, Micro Lending.",Ahmedabad,"Fullerton Financial Holdings Pte Ltd (FFH) and Bertelsmann India Investments, Sistema Asia Fund and India Quotient. 
",Series D,42000000,https://www.lendingkart.com/
18-05-2020,LetsTransport,Logistics Solution Provider,"Logistics, Transportation, Travel",Bangalore,InnoVen Capital,Venture - Series Unknown,1700000,https://letstransport.in/
13-05-2020,Magicpin,E-commerce,E-commerce,Gurugram,"Lightspeed Venture Partners, along with the participation of Moonstone Investments, WaterBridge Venture, The Bunting Family Private Fund, and Srivatsan Rajan
",Series C,4000000,https://magicpin.in/india/Pune/home/
11-05-2020,Nykaa,E-commerce,Cosmetic and Beauty Products,Mumbai,Steadview Capital,Series F,8800000,https://classplusapp.com/
05-05-2020,"Classplus

",EduTech,"e-learning, education solutions.",Noida,"RTP Global, lume Ventures, Sequoia Capital India's Surge, Spiral Ventures, and Strive.",Series A,9000000,https://classplusapp.com/
15-04-2020,"BigBasket
",E-commerce,Online Grocery Delivery,Bengaluru,Alibaba Group,Debt Financing,50000000,//www.bigbasket.com/”
09-04-2020,Vedantu,EduTech,Online Tutoring,Bengaluru,Legend Capital,Series C1,12560000,https://www.vedantu.com/
08-04-2020,Fingerlix,Food Delivery,Ready-to-Cook Food,Mumbai,"Accel, Zephyr Peacock, Swiggy, and RB Investments
",Series C,1800000,//www.fingerlix.com/”
08-04-2020,"Zupee
",Gaming,Gaming,Gurugram,"Matrix Partners India, Falcon Edge Capital, WestCap Group, Orios Venture Partners and Smile Group

",Series A,8000000,//www.zupee.in/”
07-04-2020,DeHaat,AgriTech,AgriTech,Patna,"Sequoia Capital India, FMO, Omnivore and AgFunder.",Series A,12000000,//agrevolution.in/”
06-04-2020,Swiggy,Online Food Delivery,Online Food Delivery,Bengaluru,"Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, and Mirae Asset Capital Markets
",Series 1,43000000,
02-04-2020,Recko,Digital Reconcilation and Financial Services,AI-powered Reconciliation of Digital Transactions ,Bengaluru,Vertex Ventures Southeast Asia and India and Prime Venture Partners,Series A,6000000,//www.recko.io/”
31-03-2020,"Nykaa

",E-commerce,Cosmetic and Beauty Products,Mumbai, Steadview Capital,Series F,13000000,//www.nykaa.com/”
13-03-2020,CollegeKhabri,EduTech,Education,Bhopal,Vdiec Global,Angel,,https://collegekhabri.com/
12-03-2020,"FamPay
",Finance,Online Payment,Bengaluru,"Y Combinator, Venture Highway, Sequoia India, and GFC (Global Founders Capital). ",Seed,4700000,https://fampay.in/
12-03-2020,"Ola Electric
",Transport,Cab and Bike Taxi,Bengaluru,Pawan Munjal Family Trust,Series B,1000000,
12-03-2020,Mera Kisan ,Food Production,Organic Products,Pune,Ajinkya Rahane,Private Equity,,
12-03-2020,MultiLiving,Real Estate,Home Renting and Management ,Mumbai,Lodha Ventures,Series A,6000000,https://multiliving.co.in/
06-03-2020,"Paperboat
",E-commerce,Beverages and Snacks,Bengaluru,"Advent Management, A91 Emerging Fund, and Trifecta Venture.

",Debt Financing,4000000,http://www.paperboatdrinks.com/
04-03-2020,Soxytoes,E-commerce,Socks,Noida,Angel Networks,Angel,,https://soxytoes.com/
02-03-2020,Chqbook.com,Finance,Financial Services,Gurugram,Aavishkaar Capital,Series A,5000000,https://www.chqbook.com/
19-02-2020,Unacademy,EduTech,Online Tutoring,Bangalore,"General Atlantic, Sequoia Capital India, and Facebook",Series D,110000000,https://unacademy.com/
18-02-2020,MaxWholesale,E-commerce,B2B platform for groceries,New Delhi,IAN Fund and Al Falaj Investment Co,Series A,3000000,https://www.maxwholesale.in/
14-02-2020,Simsim,E-commerce,E-commerce,New Delhi,Accel Partners,Series B,8000000,https://simsim.in/home
14-02-2020,Friyey,Co-working Spaces,Co-working Spaces,Pune,Tarun Bhalla,Seed,,https://www.friyey.com/
11-02-2020,Moengage,Intelligent Marketing Cloud,Intelligent Marketing Cloud,San Francisco/ Bangalore,Eight Roads Ventures,Series C,25000000,https://www.moengage.com/
11-02-2020,Chaayos,Cafe,Tea,New Delhi,"Think Investment, Tiger Global, SAIF Partners, Integrated Capital and Neeraj Arora and Innoven Capital

",Series B,21500000,https://www.chaayos.com/
10-02-2020,"FirstCry
",E-commerce,Baby Products,Pune,Softbank Vision Fund,Series E,296000000,https://www.firstcry.com/
10-02-2020,Pepperfry,E-commerce,Furniture,Mumbai,Pidilite Industries,Series F,37000000,https://www.pepperfry.com/
06-02-2020,Dot,Information Technology and Services,Information Technology and Services,Gurgaon,PayU and Fosun RZ Capital,Seed,8000000,https://www.dotpe.in/
05-02-2020,AlphaVector,Transport,Bicycles,Mumbai,Avaana Capital and Titan Capital,Venture Series ,,https://www.frogcycles.in/
05-02-2020,WizKlub,EduTech,Online Tutoring,Bangalore,Incubate Fund India and Insitor Impact Asia Fund,Seed,1000000,https://wizklub.com/
03-02-2020,1mg,E-commerce,Medicine,Gurugram,Bill & Melinda Gates Foundation ,Venture Series,10000000,https://www.1mg.com/
03-02-2020,RACEnergy,Transportation,Electric Vehicle,Hyderabad,GrowX Ventures,Seed,,https://www.racenergy.in/
03-02-2020,Embibe,EduTech,AI based learning,Mumbai,Reliance Industries Limited (RIL),Venture Series,12625020,https://www.embibe.com/
31-01-2020,"Adonmo
",Advertising,Advertising,Hyderabad,BAce Capital,Pre-Series A,3000000,https://www.adonmo.com/
31-01-2020,DoubtNut,Education,Online Tutoring,Gurugram,Tencent Holdings,Series A,15000000,https://doubtnut.com/
30-01-2020,MultiplyMyLeads,Real Estate,Real Estate,New Delhi,Frontline Strategy Funds and SucSEED Venture Partners.,Venture Series,,https://www.multiplymyleads.com/
13-01-2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000,https://www.pando.in/
13-01-2020,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,8048394,http://shuttl.com/
10-01-2020,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,150000000,https://www.zomato.com/
09-01-2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358860,http://mamaearth.in/
09-01-2020,BYJU’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,200000000,http://byjus.com/
02-01-2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000,https://fashor.com/
02-01-2020,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,3000000,
20-12-2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000,http://www.lenskart.com/
17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000,http://www.healthians.com/
16-12-2019,InCred,Finance,Non-Banking Financial Company,Mumbai,,Debt Funding,5900000,http://www.incred.com/
16-12-2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000,http://www.licious.in/
14-12-2019,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000000,https://trell.co/
13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000,http://rivigo.com/
12-12-2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000,https://ecozensolutions.com/
11-12-2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000,https://www.reingames.com/
06-12-2019,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000,http://www.cardekho.com/
03-12-2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000,https://www.dhruvaspace.com/
25-11-2019,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round ,1000000000,https://paytm.com/
20-11-2019,Aye Finance ,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,17411265,http://www.ayefin.com/
20-11-2019,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000,http://www.clumio.com/
19-11-2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,220000000,http://www.digitalmallofasia.com/
19-11-2019,Furtados School of Music,Education,Music Education,Tulangan, IAN Fund and DSG Consumer Partners,,200000000,http://furtadosschoolofmusic.com/
18-11-2019,Healthians,Health and Wellness,Healthcare services ,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000,http://www.healthians.com/
18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000,https://www.medikabazaar.com/
17-11-2019,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,,http://burgersinghonline.com/
15-11-2019,Ninjacart,B2B Marketing,Agritech ,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000,http://ninjacart.com/
15-11-2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000,http://www.vogo.in/
14-11-2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000,https://misters.in/en/
13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000,http://sunstone.edu.in/
13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000000,https://www.freshworks.com/
12-11-2019,SuperGaming ,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000,https://supergaming.net/
11-11-2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300000,http://www.ebikego.in/
21-10-2019,"The Man Company 
",Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,,http://www.themancompany.com/
04-10-2019,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,45000000,http://dunzo.in/
02-10-2019,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000,https://udaan.com/
05-09-2019,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000,https://onescore.app/
04-09-2019,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000,http://75f.io/
04-09-2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000,https://www.cashflo.io/
04-09-2019,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000000,http://www.digitalf5.com/
04-09-2019,3rdFlix,SaaS,Education Technology ,Hyderabad,Exfinity Venture Partners,pre-series A,5000000,https://3rdflix.com/
04-09-2019,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,1000000,http://myelinfoundry.com/
